subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,4,0.284172,7.421137
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,5,0.355215,-9.369055
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,6,0.426259,-89.176758
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,0,0.0,-26.280713
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,1,0.071043,83.932106
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,2,0.142086,59.369452
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,3,0.213129,8.881156
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,4,0.284172,3.498385
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,5,0.355215,-133.430007
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_2.wav,1,False,1338,6,0.426259,94.606197
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,0,0.0,-131.535185
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,1,0.071043,-10.702864
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,2,0.142086,-8.37004
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,3,0.213129,83.706839
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,4,0.284172,-28.836111
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,5,0.355215,8.499607
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_139.wav,0,False,2263,6,0.426259,-85.859123
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,0,0.0,-23.596543
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,1,0.071043,-71.824414
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,2,0.142086,88.506579
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,3,0.213129,-79.935804
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,4,0.284172,97.974212
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,5,0.355215,-89.439384
Auregan,14,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_19.wav,1,True,2263,6,0.426259,-131.198163
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,0,0.0,49.290737
Auregan,15,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_43.wav,0,False,3235,1,0.071043,5.814602
